,corp_code,corp_name,stock_code,modify_date
6392,00262275,엠씨티티코어,052210,20170630
6408,00200798,에이스앤파트너스,032930,20170630
6425,00335924,지앤디윈텍,061050,20170630
6445,00111591,인터피온반도체,014010,20170630
6446,00189343,솔로몬저축은행,007800,20170630
6456,00252588,엠트론스토리지테크놀로지,046320,20170630
6497,00267997,에스티앤아이,031800,20170630
6502,00367376,사이노젠,064060,20170630
6503,00299686,유퍼트,060670,20170630
6505,00463050,엑스로드,074140,20170630
6506,00238913,선우중공업,068770,20170630
6544,00107446,남양,003020,20170630
6549,00114303,엘지데이콤,015940,20170630
6550,00318617,LG파워콤,045820,20170630
6556,00267775,동산진흥,031960,20170630
6557,00394574,티이씨,067950,20170630
6558,00110176,한국기술산업,008320,20170630
6580,00349787,지케이파워,054020,20170630
6581,00136554,스타맥스,017050,20170630
6616,00144562,유성티에스아이,024870,20170630
6830,00370547,네오리소스,058550,20170630
6856,00242439,케이알,035950,20170630
6881,00134060,씨앤상선,000790,20170630
6993,00392600,투미비티,058900,20170630
7055,00259855,코아정보시스템,039990,20170630
7065,00385451,케이에스리소스,066340,20170630
7066,00258944,세계투어,047600,20170630
7159,00798530,동양밸류오션기업인수목적,122290,20170630
7181,00451268,케이이엔지,077960,20170630
7184,00336570,사이버패스,063280,20170630
7189,00363325,산양전기,079870,20170630
7199,00148188,으뜸상호저축은행,032150,20170630
7237,00508566,국제개발,080570,20170630
7260,00133928,세신,004230,20170630
7342,00540784,골든브릿지더블유엠경매부동산일호투자회사,084160,20170630
7404,00298252,엘앤피아너스,061140,20170630
7421,00264556,에이스일렉트로닉스,038690,20170630
7443,00581000,디앤샵,090090,20170630
7444,00359094,더체인지,054120,20170630
7501,00686970,다산자기관리부동산투자회사,105380,20170630
7534,00255309,써니트렌드,035500,20170630
7535,00362380,뉴젠비아이티,054650,20170630
7537,00244862,룩소네이트,033880,20170630
7556,00301015,한서제약,044070,20170630
7574,00297165,현대오토넷,042100,20170630
7575,00105767,LG마이크론,016990,20170630
7637,00173397,서광건설산업,001600,20170630
7651,00259606,플러스프로핏,036660,20170630
7668,00178471,한와이어리스,037020,20170630
7669,00331733,포휴먼,049690,20170630
7754,00104892,알이네트웍스,023670,20170630
7769,00647917,케이알제2호개발전문위탁관리부동산투자회사,101790,20170630
7825,00597764,미래에셋맵스오퍼튜니티베트남주식혼합형투자회사1호,094520,20170630
7877,00355821,씨티엘테크,088960,20170630
7888,00329677,이디디컴퍼니,052650,20170630
7913,00244871,케이티프리텔,032390,20170630
7944,00246383,메카포럼,035830,20170630
7954,00345499,에스피코프,048130,20170630
7993,00348140,이롬텍,045400,20170630
8052,00215107,이앤텍,047450,20170630
8053,00106508,기린,006070,20170630
8137,00560991,맥스브로,088810,20170630
8139,00265263,토자이홀딩스,037700,20170630
8158,00142564,우방,013200,20170630
8181,00198572,동양매직,023020,20170630
8182,00642648,코웰이홀딩스유한공사,900020,20170630
8190,00537443,아구스,078670,20170630
8244,00113173,대한은박지,007480,20170630
8246,00441872,인스프리트,073130,20170630
8252,00480844,하이럭스,079340,20170630
8258,00262044,트리니티,053070,20170630
8262,00101442,카라반케이디이,032570,20170630
8283,00295875,더존디지털웨어,045380,20170630
8288,00441298,디보스,080140,20170630
8311,00263885,포네이처,045290,20170630
8312,00475532,테이크시스템즈,076090,20170630
8313,00130204,폴켐,033190,20170630
8358,00128731,유리이에스,007050,20170630
8377,00325981,에프아이투어,047370,20170630
8378,00540021,모빌탑,085680,20170630
8394,00362089,올리브나인,052970,20170630
8398,00228916,디패션,030420,20170630
8502,00114215,알덱스,025970,20170630
8509,00264103,에이엠에스,044770,20170630
8510,00109648,오라바이오틱스,016160,20170630
8519,00261212,시노펙스그린테크,037320,20170630
8615,00348007,야호커뮤니케이션,059720,20170630
8618,00275808,브이케이,048760,20170630
8620,00375579,팬택앤큐리텔,063350,20170630
8627,00197324,팬텀엔터테인먼트그룹,025460,20170630
8631,00339063,삼성수산,052560,20170630
8660,00538497,동북아15호선박투자회사,084240,20170630
8701,00329084,비엔디,047940,20170630
8717,00225140,쌈지,033260,20170630
8740,00101947,브이오산업,018890,20170630
8750,00287724,코디콤,041800,20170630
8766,00347840,제네시스엔알디,052640,20170630
8827,00504357,동북아6호선박투자회사,080410,20170630
8836,00269339,인네트,041450,20170630
8855,00634959,한국월드와이드아시아태평양특별자산1호투자회사,098150,20170630
8872,00267094,헤파호프코리아,039350,20170630
8995,00142698,휴리프,006210,20170630
9011,00350057,하이스마텍,057100,20170630
9020,00721981,삼성디지털이미징,108070,20170630
9093,00248691,씨제이인터넷,037150,20170630
9094,00335562,엠넷미디어,056200,20170630
9095,00369675,온미디어,045710,20170630
9133,00265078,유니텍전자,039040,20170630
9221,00267809,위더스기술금융,019430,20170630
9230,00314000,클라스타,037550,20170630
9232,00355292,아시아미디어홀딩스,052810,20170630
9240,00386557,아이스테이션,056010,20170630
9247,00548865,동북아21호선박투자회사,088010,20170630
9267,00221320,에이스디지텍,036550,20170630
9299,00124054,부산저축은행,007830,20170630
9316,00301486,에피밸리,068630,20170630
9329,00149248,아세아페이퍼텍,009380,20170630
9369,00311298,오페스,053470,20170630
9375,00348557,액티투오,047710,20170630
9377,00265342,에이치에스씨홀딩스,038920,20170630
9383,00156734,한국고덴시,027840,20170630
9384,00208693,나리지*온,036850,20170630
9386,00128953,프로비타,014420,20170630
9392,00428792,제로원인터랙티브,069470,20170630
9393,00148744,제일화재해상보험,000610,20170630
9394,00518873,동북아9호선박투자회사,083120,20170630
9414,00300779,굿이엠지,051530,20170630
9424,00397766,아이드림,066850,20170630
9468,00174305,조인에너지,004820,20170630
9482,00320807,태광이엔시,048140,20170630
9612,00106492,렉스엘이앤지,004790,20170630
9623,00592583,코리아퍼시픽05호선박투자회사,093400,20170630
9719,00275260,엑큐리스,048460,20170630
9789,00183914,우경,025920,20170630
9852,00481676,세미텍,081220,20170630
10022,00104971,그린손해보험,000470,20170630
10048,00269773,대양글로벌,040180,20170630
10051,00334767,엔하이테크,046720,20170630
10106,00453752,제너시스템즈,073930,20170630
10132,00140919,엘트온,015050,20170630
10180,00255840,태산엘시디,036210,20170630
10224,00133034,성원건설,012090,20170630
10227,00161028,대우송도개발,004550,20170630
10298,00174475,현대금속,018410,20170630
10320,00251482,트라이써클,034010,20170630
10389,00824659,아이비케이에스스마트에스엠이기업인수목적1호,126680,20170630
10472,00259536,네스테크,037540,20170630
10533,00505198,동북아5호선박투자회사,080980,20170630
10563,00679730,파브코,101990,20170630
10620,00803504,우리기업인수목적1호,122750,20170630
10629,00350118,뉴젠아이씨티,054150,20170630
10635,00352295,인젠,041630,20170630
10644,00240088,지앤에스티,036920,20170630
10873,00356158,영진코퍼레이션,053330,20170630
10880,00560025,코크렙제8호위탁관리부동산투자회사,090540,20170630
10881,00140380,유니온스틸,003640,20170630
10916,00101275,경남모직,001670,20170630
10949,00334493,씨티앤티,050470,20170630
10950,00797674,대우증권그린코리아기업인수목적회사,121910,20170630
10961,00244589,지노시스템,033850,20170630
10987,00802028,한국투자신성장1호기업인수목적회사,123290,20170630
10990,00164292,동원데어리푸드,003900,20170630
10993,00371519,휴먼텍코리아,066060,20170630
11000,00126593,에스에스씨피,071660,20170630
11061,00220181,평산,089480,20170630
11180,00254009,지디코프,036610,20170630
11193,00505541,아시아퍼시픽2호선박투자회사,081190,20170630
11266,00240398,무한투자,034510,20170630
11312,00828309,동부티에스블랙펄기업인수목적,128910,20170630
11332,00349468,블루젬디앤씨,053040,20170630
11336,00808262,부국퓨쳐스타즈기업인수목적,123300,20170630
11406,00252393,예당컴퍼니,049000,20170630
11511,00229818,터보테크,032420,20170630
11569,00154189,케이비물산,008540,20170630
11577,00680161,연합과기공고유한공사,900030,20170630
11648,00102645,글로스텍,012410,20170630
11650,00844884,중국고섬공고유한공사,950070,20170630
11692,00592592,코리아퍼시픽06호선박투자회사,093410,20170630
11694,00268437,나노트로닉스,010670,20170630
11859,00798284,미래에셋제1호기업인수목적,121950,20170630
11872,00164195,에이원마이크로,037380,20170630
11873,00264811,에이프로테크놀로지,045470,20170630
12045,00208301,성우몰드,053440,20170630
12073,00676380,모린스,110310,20170630
12115,00543231,디지텍시스템스,091690,20170630
12128,00103121,세븐코스프,017160,20170630
12186,00122436,배명금속,011800,20170630
12214,00505189,동북아4호선박투자회사,080970,20170630
12267,00271413,사라콤,040020,20170630
12317,00245296,폴리플러스,065610,20170630
12346,00188122,하나물산,036280,20170630
12366,00480905,영찬테크,085990,20170630
12443,00890333,케이비부국제1호개발전문위탁관리부동산투자회사,149130,20170630
12447,00510534,아시아퍼시픽8호선박투자회사,081930,20170630
12481,00150855,진흥저축은행,007200,20170630
12501,00173634,에듀언스,009010,20170630
12518,00830377,성융광전투자유한공사,900150,20170630
12563,00224567,샤인시스템,066300,20170630
12612,00582054,씨모텍,081090,20170630
12693,00125929,에스컴,014900,20170630
12742,00502793,아시아퍼시픽1호선박투자회사,080180,20170630
12755,00505550,아시아퍼시픽3호선박투자회사,081200,20170630
12780,00104704,한국저축은행,025610,20170630
12786,00361035,미리넷,056710,20170630
12881,00630111,3노드디지탈그룹유한공사,900010,20170630
12895,00264802,유일엔시스,038720,20170630
13133,00399773,케이피케미칼,064420,20170630
13141,00257529,이루넷,041030,20170630
13156,00804114,대신증권그로쓰알파기업인수목적,123550,20170630
13157,00416706,유에이블,071530,20170630
13221,00121251,네오퍼플,028090,20170630
13422,00173324,경윤하이드로에너지,019120,20170630
13431,00121729,롯데미도파,004010,20170630
13435,00808226,한화에스브이명장제1호기업인수목적,124050,20170630
13449,00162577,셀텍,019260,20170630
13450,00812229,에스비아이앤솔로몬드림기업인수목적,123910,20170630
13543,00351153,위다스,056810,20170630
13580,00126885,에스와이코퍼레이션,008080,20170630
13703,00264741,어울림네트웍스,042820,20170630
13730,00266989,에이디모터스,038120,20170630
13760,00260693,평안물산,037240,20170630
13777,00267951,아큐텍,013780,20170630
13780,00132114,선진지주,014300,20170630
13781,00804983,히든챔피언제1호기업인수목적,123160,20170630
13795,00502474,동북아2호선박투자회사,080030,20170630
13853,00579379,금강제강,105070,20170630
13994,00264857,아라온테크,041060,20170630
14009,00375302,우리금융지주,053000,20170630
14012,00252658,코리언일랙트로닉스파워소스,046810,20170630
14071,00264848,대국,042340,20170630
14079,00138376,쎄라텍,041550,20170630
14133,00251190,글로웍스,034600,20170630
14144,00694003,중국식품포장유한공사,900060,20170630
14189,00505170,동북아3호선박투자회사,080960,20170630
14286,00259439,지아이바이오,035450,20170630
14370,00207436,알에스넷,046430,20170630
14385,00408585,나이스메탈,072530,20170630
14450,00111829,대웅바이오,016890,20170630
14511,00956028,엑세스바이오,950130,20170630
14623,00115038,하나IB증권,003330,20170630
14644,00288653,퓨쳐비젼,042570,20170630
14761,00303837,이레전자산업,045310,20170630
14962,00330017,레이더스컴퍼니,047420,20170630
15027,00264769,포이보스,038810,20170630
15028,00308948,미디어코프,053890,20170630
15029,00321222,케이디세코,073780,20170630
15030,00361202,이노블루,066200,20170630
15031,00450728,도움,078610,20170630
15032,00535773,엑스씨이,081500,20170630
15146,00152950,코오롱유화,011020,20170630
15687,00296069,세라온홀딩스,050600,20170630
15711,00521956,현대경매부동산일호투자회사,083160,20170630
15725,00360540,우수씨엔에스,060550,20170630
15732,00593519,동북아31호선박투자회사,093730,20170630
15776,00194372,후야인포넷,032050,20170630
15821,00154693,이레아이엔씨,036900,20170630
15838,00106650,카스코,005330,20170630
15887,00368791,모델라인,064720,20170630
15890,00220552,청람디지탈,035270,20170630
15891,00301626,플래닛팔이,057330,20170630
15892,00294371,한텔,041940,20170630
16074,00353683,코스모스피엘씨,053170,20170630
16075,00252375,나노하이텍,071360,20170630
16076,00260903,쓰리소프트,036360,20170630
16077,00261461,트라이콤,038410,20170630
16078,00265218,케이엔에스홀딩스,036760,20170630
16079,00471989,지비에스,076170,20170630
16080,00306986,피더블유제네틱스,065910,20170630
16130,00356644,엠텍반도체,054440,20170630
16179,00305695,세니콘,056060,20170630
16236,00151252,에스와이,004530,20170630
16247,00257051,유씨아이콜스,065810,20170630
16382,00459589,코크렙제3호CR리츠,073530,20170630
16390,00264839,아이비진,039060,20170630
16599,00366164,아이티센네트웍스,057110,20170630
16618,00436728,리얼티코리아제1호기업구조조정부동산투자,072450,20170630
16787,00136235,BHK,003990,20170630
16788,00328854,포넷,048270,20170630
16940,00120960,맥슨텔레콤,009890,20170630
17184,00220446,예일바이오텍,054250,20170630
17395,00119733,엔토리노,032590,20170630
17434,00119423,두림티앤씨,033330,20170630
17452,00557067,동북아27호선박투자회사,089170,20170630
17453,00557058,동북아28호선박투자회사,089180,20170630
17454,00557030,동북아30호선박투자회사,089200,20170630
17455,00557049,동북아29호선박투자회사,089190,20170630
17511,00244330,현주컴퓨터,038960,20170630
17633,00120100,LG석유화학,012990,20170630
17654,00246657,오브제,058680,20170630
17820,00130037,휴닉스,009790,20170630
17846,00405074,세이프아시아,066330,20170630
17941,00398534,코크렙제1호기업구조조정부동산투자회사,067910,20170630
18170,00234449,제이엠피,054790,20170630
18189,00165200,위너스인프라인,005760,20170630
18348,00150183,AP우주통신,015670,20170630
18399,00268482,조이토토,044370,20170630
18400,00363033,한도하이테크,060660,20170630
18401,00364227,에너윈,055970,20170630
18548,00458915,유레스메리츠제1호,073470,20170630
18597,00386876,교보메리츠퍼스트기업구조조정부동산투자회사,064900,20170630
18599,00163044,한일약품공업,003040,20170630
18613,00543073,굿앤리치부동산공경매투자회사1호,085450,20170630
18667,00160445,한국합섬,025830,20170630
18855,00554468,굿앤리치부동산공경매투자회사2호,088510,20170630
18937,00165565,디에스피이엔티,016040,20170630
19018,00300256,시큐어소프트,037060,20170630
19024,00138491,동부일렉트로닉스,001830,20170630
19204,00102821,고려시멘트,003660,20170630
19206,00377814,베스트플로우,060410,20170630
19299,00364670,쿨투,056020,20170630
19417,00143013,우영,012460,20170630
20010,00263991,모빌링크텔레콤,041310,20170630
20479,00105183,극동제혁,010200,20170630
20486,00173254,한마음상호저축은행,025450,20170630
20526,00101637,그로웰전자,009220,20170630
20544,00124513,부흥,003930,20170630
20694,00139418,알루코,021570,20170630
20704,00154417,퍼시픽글라스,009080,20170630
21005,00119362,아이인프라,008780,20170630
21063,00140353,씨크롭,016970,20170630
21110,00170451,외환신용카드,038400,20170630
21112,00267793,삼화기연,033210,20170630
21146,00260639,대흥멀티미디어통신,037250,20170630
21224,00153852,텔슨정보통신,018180,20170630
21271,00248956,비이티,036820,20170630
21406,00390028,코오롱인터내셔널,063510,20170630
21454,00260888,엔써커뮤니티,037750,20170630
21455,00275710,써미트테크놀로지,039000,20170630
21459,00172103,코리아이앤디,027440,20170630
21464,00263955,트래픽아이티에스,038050,20170630
21500,00261601,호성,035870,20170630
21565,00265254,넥스텔,037220,20170630
21621,00255266,쓰리알,037730,20170630
21637,00259916,그로웰텔레콤,035780,20170630
21647,00131434,서통,001150,20170630
21869,00271352,테크메이트,043690,20170630
21907,00244932,한아시스템,036020,20170630
21908,00348052,엔에스아이,053250,20170630
21967,00367598,케이티씨텔레콤,055810,20170630
22150,00267720,신한SIT,054530,20170630
22202,00147949,스마텔,004190,20170630
22268,00203458,동방라이텍,025690,20170630
22302,00130000,아이텍스필,008030,20170630
22311,00145534,이수세라믹,032180,20170630
22317,00425360,코크렙제2호기업구조조정부동산투자회사,070540,20170630
22497,00141334,영풍산업,002850,20170630
22507,00384452,모닷텔,048150,20170630
22545,00103583,광덕물산,003590,20170630
22564,00162142,동원증권,005890,20170630
22597,00236021,우주통신,054080,20170630
22841,00106483,기라정보통신,019930,20170630
22879,00208374,텔슨전자,027350,20170630
22881,00309983,하이콤정보통신,048540,20170630
22941,00277727,미래에셋굿라이프혼합형자녀를위한펀드5-1,037500,20170630
22944,00136217,한메엔에스,006150,20170630
22992,00229827,이지클럽,038980,20170630
23194,00247902,넷컴스토리지,037010,20170630
23219,00318477,모디아,046000,20170630
23270,00246815,성진산업,037650,20170630
23275,00260921,아이엠아이티,038100,20170630
23277,00247762,맥시스템,036880,20170630
23333,00350224,슈마일렉트론,056500,20170630
23629,00101992,센추리,006750,20170630
23633,00151614,베네데스하이텍,009360,20170630
23636,00179832,에스오케이,032610,20170630
23743,00241120,세원텔레콤,036910,20170630
23903,00277985,한강구조조정기금,036060,20170630
23979,00325918,케이엔티,036590,20170630
24102,00110981,대아리드선,009940,20170630
24133,00116499,동신제약,006600,20170630
24188,00104467,국민은행,031150,20170630
24202,00257361,월드텔레콤,047610,20170630
24309,00358730,업필,054370,20170630
24518,00248406,화림모드,045920,20170630
24543,00348788,디이시스,053200,20170630
24591,00110963,대아건설,000380,20170630
24629,00149840,중앙제지,005600,20170630
24651,00267021,창민테크,042960,20170630
24751,00330406,씨제이엔터테인먼트,049370,20170630
24824,00110079,대백쇼핑,027700,20170630
25015,00141440,지니웍스,036600,20170630
25034,00135670,신광기업,001580,20170630
25070,00144933,유진종합개발,023420,20170630
25085,00371139,휘튼,066480,20170630
25196,00218654,엠바이엔,031970,20170630
25211,00115852,두산건설,002950,20170630
25232,00113696,대호,001980,20170630
25271,00253514,한신코퍼레이션,037120,20170630
25301,00105509,금강화섬,010730,20170630
25502,00163178,우리증권,001280,20170630
25538,00264185,피코소프트,039580,20170630
25539,00265157,바이오시스,035960,20170630
25551,00270405,윌텍정보통신,039390,20170630
25566,00125406,삼도물산,002930,20170630
25650,00258731,현대멀티캡,035910,20170630
25730,00822572,씨아이에스,144630,20170630
25754,00423609,LG생명과학,068870,20170630
25756,00580603,코리아퍼시픽01호선박투자회사,090970,20170630
25757,00580612,코리아퍼시픽02호선박투자회사,090980,20170630
25787,00317830,신양오라컴디스플레이,086830,20170630
26027,00311030,미래에셋증권,037620,20170630
26187,00439053,이룸지엔지,050640,20170630
26312,00992312,에스와이이노베이션,194860,20170630
26342,00580621,코리아퍼시픽03호선박투자회사,090990,20170630
26343,00580630,코리아퍼시픽04호선박투자회사,091000,20170630
26355,00262123,유아이에너지,050050,20170630
26377,00533696,아시아퍼시픽14호선박투자회사,083610,20170630
26514,00533757,아시아퍼시픽13호선박투자회사,083600,20170630
26515,00533580,아시아퍼시픽10호선박투자회사,083570,20170630
26516,01041217,현대에이블기업인수목적1호,204760,20170630
26517,00533793,아시아퍼시픽11호선박투자회사,083580,20170630
26518,00533836,아시아퍼시픽12호선박투자회사,083590,20170630
26531,00144766,호반산업,004320,20170630
26586,00525527,실리콘화일,082930,20170630
26706,00372989,비엔씨컴퍼니,058370,20170630
26780,00529523,동북아11호선박투자회사,083360,20170630
26781,00526474,동북아14호선박투자회사,083390,20170630
26835,00302801,디아이디,074130,20170630
26897,00124018,부산방직공업,025270,20170630
26905,00255071,현대에이치씨엔동작방송,034750,20170630
27024,00364926,플렉스컴,065270,20170630
27107,00350491,웹솔루스,160350,20170630
27254,00450214,마이스코,088700,20170630
27421,01022054,솔트웍스,222520,20170630
27428,00164955,현대페인트,011720,20170630
27440,00790501,한진해운,117930,20170630
27450,00272412,글라소울,045050,20170630
27462,00207542,팬택자산관리,025930,20170630
27530,00394778,케이엔씨글로벌,068150,20170630
27592,00446460,아이디에스,078780,20170630
27613,00188946,훈영,017170,20170630
27652,00137702,한솔아트원제지,007190,20170630
27705,00418476,엠제이비,074150,20170630
27908,00587101,바다로3호선박투자회사,092630,20170630
28074,00351047,아이팩토리,053810,20170630
28274,00778040,거북선5호선박투자회사,114130,20170630
28275,00778059,거북선6호선박투자회사,114140,20170630
28374,00126229,삼성물산,000830,20170630
28390,00496003,피엘에이,082390,20170630
28606,00359030,닉스테크,063840,20170630
28909,00510914,아시아퍼시픽9호선박투자회사,081940,20170630
28973,00697329,거북선4호선박투자회사,108890,20170630
28982,00149664,중앙건설,015110,20170630
29004,00318839,미래에셋새천년코리아벤처펀드일호,042950,20170630
29071,00130897,하나은행,002860,20170630
29101,00183260,에이스하이텍,071930,20170630
29187,00246347,태창파로스,039850,20170630
29236,00599230,평산차업집단유한공사,950010,20170630
29251,00970277,스탠다드펌,179280,20170630
29280,00122922,벽산건설,002530,20170630
29283,00116860,NH농협증권,016420,20170630
29284,00505569,아시아퍼시픽4호선박투자회사,081210,20170630
29469,00160612,한화화인케미칼,025850,20170630
29531,00659435,정다운,224090,20170630
29697,00232317,지오엠씨,033030,20170630
29800,00130860,에듀패스,031950,20170630
29811,00113632,아이디에이치,026230,20170630
29840,00837680,거북선7호선박투자회사,134000,20170630
29929,00130815,서울상호저축은행,016560,20170630
29983,00248123,와이즈파워,040670,20170630
30064,00788807,코크렙제15호기업구조조정부동산투자회사,121550,20170630
30248,00270432,티브로드한빛방송,043890,20170630
30277,00648697,거북선3호선박투자회사,102000,20170630
30280,00165529,동성하이켐,013450,20170630
30329,00419989,클루넷,067130,20170630
30495,00637114,코리아퍼시픽07호선박투자회사,099210,20170630
30530,00361114,씨유전자,056340,20170630
30610,00125628,삼목강업,158380,20170630
30685,00265227,에스비엠,037630,20170630
30743,00267669,솔빛미디어,044440,20170630
30767,00693800,에프지엔개발전문자기관리부동산투자회사,119250,20170630
30780,00991012,판타지오,187770,20170630
30821,00164469,현대하이스코,010520,20170630
30855,00586652,거북선1호선박투자회사,092970,20170630
30866,00132105,삼양제넥스,003940,20170630
30899,00345657,코아에스앤아이,052350,20170630
30979,00810531,자원메디칼,181980,20170630
30990,00127370,삼우이엠씨,026250,20170630
31005,00261124,어울림정보기술,038320,20170630
31086,00244729,티브로드도봉강북방송,035210,20170630
31250,00138127,티이씨앤코,008900,20170630
31360,00156521,화인자산관리,010460,20170630
31440,00446831,세실,084450,20170630
31584,00127024,삼양엔텍,008720,20170630
31656,00120377,로케트전기,000420,20170630
31672,00136970,신일건업,014350,20170630
31897,00148328,제일모직,001300,20170630
31910,00842479,퓨얼셀파워,139170,20170630
31948,00907660,아루히,950100,20170630
32050,00351269,지티앤티,053870,20170630
32087,00350251,모아에스앤에스,052880,20170630
32095,00206127,어울림엘시스,033280,20170630
32332,00846396,이코리아자기관리부동산투자회사,138440,20170630
32353,00144155,SK,003600,20170630
32403,00678281,에이치앤아이,103650,20170630
32426,00314888,디에스,051710,20170630
32485,00653990,유니드코리아,110500,20170630
32533,00451116,아이레보,072430,20170630
32578,00159926,포스코티엠씨,010150,20170630
32673,00648688,거북선2호선박투자회사,101380,20170630
32747,00512550,아시아퍼시픽5호선박투자회사,082240,20170630
32748,00512532,아시아퍼시픽7호선박투자회사,082260,20170630
32749,00512541,아시아퍼시픽6호선박투자회사,082250,20170630
32926,01047929,에스케이제1호기업인수목적,207930,20171106
32933,01064315,대우기업인수목적3호,215580,20171226
32949,01047567,엔에이치에스엘기업인수목적,207720,20171016
33153,01043871,케이티비기업인수목적1호,204650,20170707
33163,01065536,미래에셋제3호기업인수목적,215750,20180104
33188,00636045,넥솔론,110570,20170918
33195,00632331,디피앤케이,189700,20171220
33238,00974459,비앤에스미디어,156170,20170918
33272,00461690,세화피앤씨,085980,20170919
33307,01111057,에스지에이시스템즈,232290,20171222
33527,00653112,미래자원엠엘,233190,20171228
33584,00823687,웨이포트유한공사,900130,20170725
33585,00318538,아스팩오일,232360,20170725
33600,00855145,하이골드오션2호선박투자회사,139200,20171127
33627,01046179,골든브릿지제2호기업인수목적,206660,20171020
33696,00110495,대성합동지주,005620,20170825
33713,00722500,중국원양자원유한공사,900050,20170927
33726,01018167,캐로스,260490,20171129
33735,00533678,아시아퍼시픽15호선박투자회사,083620,20170731
33736,01047716,하나머스트3호기업인수목적,208870,20170731
33761,00686147,신성에프에이,104120,20171207
33854,00686068,신성이엔지,104110,20171208
33928,00783246,글로벌에스엠,900070,20170703
34002,00163619,한진피앤씨,061460,20170929
34133,00967778,나이코,192240,20170630
34560,01038161,대우기업인수목적2호,204440,20170630
34679,00267960,에스에스컴텍,036500,20170630
34803,00529310,동북아10호선박투자회사,083350,20170630
34964,01080410,골든브릿지제3호기업인수목적,219580,20180207
